<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,5,20161118,173500,109.75,110.45,109.71,110.39,48199
US2.AAPL,5,20161118,174000,110.4,110.53,110.37,110.47,60788
US2.AAPL,5,20161118,174500,110.49,110.5,110.08,110.16,57875
US2.AAPL,5,20161118,175000,110.2,110.205,110.07,110.17,35866
US2.AAPL,5,20161118,175500,110.19,110.35,110.19,110.27,34788
US2.AAPL,5,20161118,180000,110.27,110.28,110.07,110.16,32405
US2.AAPL,5,20161118,180500,110.18,110.25,110.03,110.23,43452
US2.AAPL,5,20161118,181000,110.2,110.23,110.12,110.19,20125
US2.AAPL,5,20161118,181500,110.2,110.2,110.04,110.17,20624
US2.AAPL,5,20161118,182000,110.16,110.18,109.88,109.9,33529
US2.AAPL,5,20161118,182500,109.92,110.05,109.88,109.98,25339
US2.AAPL,5,20161118,183000,109.99,110.12,109.98,110.07,22663
US2.AAPL,5,20161118,183500,110.08,110.16,109.76,109.77,33267
US2.AAPL,5,20161118,184000,109.77,109.83,109.67,109.7,29952
US2.AAPL,5,20161118,184500,109.71,109.87,109.71,109.8,27196
US2.AAPL,5,20161118,185000,109.77,109.9,109.74,109.89,17459
US2.AAPL,5,20161118,185500,109.89,109.9,109.71,109.8,27999
US2.AAPL,5,20161118,190000,109.8,109.93,109.785,109.89,21583
US2.AAPL,5,20161118,190500,109.89,109.99,109.84,109.99,19077
US2.AAPL,5,20161118,191000,110,110.16,109.93,110.1,38160
US2.AAPL,5,20161118,191500,110.12,110.13,109.94,110.06,28929
US2.AAPL,5,20161118,192000,110.06,110.17,110.03,110.13,15175
US2.AAPL,5,20161118,192500,110.13,110.18,110.03,110.06,14500
US2.AAPL,5,20161118,193000,110.05,110.07,109.95,109.95,15315
US2.AAPL,5,20161118,193500,109.95,109.95,109.84,109.89,19421
US2.AAPL,5,20161118,194000,109.89,110.03,109.89,110.02,17396
US2.AAPL,5,20161118,194500,110.03,110.06,110.02,110.04,16957
US2.AAPL,5,20161118,195000,110.04,110.04,110,110,20625
US2.AAPL,5,20161118,195500,110.01,110.01,109.91,109.92,19556
US2.AAPL,5,20161118,200000,109.9,109.9,109.81,109.89,20663
US2.AAPL,5,20161118,200500,109.89,109.97,109.89,109.92,9709
US2.AAPL,5,20161118,201000,109.92,109.95,109.9,109.92,6325
US2.AAPL,5,20161118,201500,109.92,109.925,109.89,109.91,8884
US2.AAPL,5,20161118,202000,109.91,109.93,109.86,109.92,10305
US2.AAPL,5,20161118,202500,109.93,110.025,109.92,110.02,15727
US2.AAPL,5,20161118,203000,110.03,110.07,110.01,110.06,13243
US2.AAPL,5,20161118,203500,110.08,110.115,110.05,110.09,11098
US2.AAPL,5,20161118,204000,110.09,110.09,110.02,110.03,11102
US2.AAPL,5,20161118,204500,110.02,110.04,110.015,110.04,5311
US2.AAPL,5,20161118,205000,110.04,110.09,110.04,110.08,6430
US2.AAPL,5,20161118,205500,110.08,110.155,110.08,110.12,9332
US2.AAPL,5,20161118,210000,110.12,110.18,110.1,110.18,8108
US2.AAPL,5,20161118,210500,110.185,110.21,110.16,110.16,16817
US2.AAPL,5,20161118,211000,110.15,110.17,110.11,110.14,11956
US2.AAPL,5,20161118,211500,110.15,110.18,110.12,110.16,11660
US2.AAPL,5,20161118,212000,110.15,110.19,110.14,110.18,8430
US2.AAPL,5,20161118,212500,110.18,110.195,110.17,110.19,10330
US2.AAPL,5,20161118,213000,110.19,110.19,109.99,109.99,10964
US2.AAPL,5,20161118,213500,110,110.13,110,110.13,5163
US2.AAPL,5,20161118,214000,110.13,110.16,110.12,110.15,12815
US2.AAPL,5,20161118,214500,110.14,110.14,110.09,110.12,13865
US2.AAPL,5,20161118,215000,110.13,110.145,110.04,110.04,8804
US2.AAPL,5,20161118,215500,110.04,110.04,109.97,109.97,11995
US2.AAPL,5,20161118,220000,109.96,109.96,109.86,109.88,14418
US2.AAPL,5,20161118,220500,109.88,109.91,109.865,109.9,7859
US2.AAPL,5,20161118,221000,109.9,109.95,109.86,109.86,13184
US2.AAPL,5,20161118,221500,109.85,109.85,109.76,109.78,15328
US2.AAPL,5,20161118,222000,109.78,109.84,109.78,109.81,13087
US2.AAPL,5,20161118,222500,109.81,109.81,109.74,109.79,10833
US2.AAPL,5,20161118,223000,109.79,109.83,109.76,109.77,16806
US2.AAPL,5,20161118,223500,109.79,109.86,109.79,109.84,11065
US2.AAPL,5,20161118,224000,109.85,109.855,109.76,109.76,7150
US2.AAPL,5,20161118,224500,109.77,109.84,109.77,109.83,9061
US2.AAPL,5,20161118,225000,109.83,109.83,109.785,109.79,9991
US2.AAPL,5,20161118,225500,109.8,109.8,109.72,109.75,13193
US2.AAPL,5,20161118,230000,109.75,109.765,109.71,109.75,9437
US2.AAPL,5,20161118,230500,109.76,109.84,109.76,109.81,12910
US2.AAPL,5,20161118,231000,109.82,109.82,109.76,109.8,17897
US2.AAPL,5,20161118,231500,109.8,109.88,109.79,109.85,11603
US2.AAPL,5,20161118,232000,109.85,109.94,109.84,109.94,14830
US2.AAPL,5,20161118,232500,109.94,110.02,109.94,110.02,18740
US2.AAPL,5,20161118,233000,110.025,110.035,109.9,110,27866
US2.AAPL,5,20161118,233500,110,110.11,109.96,109.99,20607
US2.AAPL,5,20161118,234000,109.995,110.06,109.94,109.95,29475
US2.AAPL,5,20161118,234500,109.96,110,109.93,109.99,20329
US2.AAPL,5,20161118,235000,110,110.03,109.98,110.005,22786
US2.AAPL,5,20161118,235500,110.01,110.05,109.96,109.96,51695
US2.AAPL,5,20161119,0,109.96,110.06,109.96,110.06,57890
US2.AAPL,5,20161121,173500,110.05,110.48,110.03,110.3,34922
US2.AAPL,5,20161121,174000,110.33,110.53,110.3,110.44,46125
US2.AAPL,5,20161121,174500,110.44,110.57,110.3,110.43,45874
US2.AAPL,5,20161121,175000,110.43,110.93,110.43,110.83,40578
US2.AAPL,5,20161121,175500,110.84,110.95,110.77,110.91,53355
US2.AAPL,5,20161121,180000,110.92,111.17,110.92,111.16,50357
US2.AAPL,5,20161121,180500,111.15,111.15,110.99,111.03,40996
US2.AAPL,5,20161121,181000,111.03,111.03,110.79,110.8,31399
US2.AAPL,5,20161121,181500,110.78,110.92,110.78,110.91,22110
US2.AAPL,5,20161121,182000,110.9,110.9,110.68,110.68,27111
US2.AAPL,5,20161121,182500,110.705,110.76,110.67,110.71,14072
US2.AAPL,5,20161121,183000,110.71,110.73,110.47,110.69,33370
US2.AAPL,5,20161121,183500,110.69,110.695,110.51,110.59,28943
US2.AAPL,5,20161121,184000,110.59,110.62,110.53,110.6,13407
US2.AAPL,5,20161121,184500,110.62,110.7,110.56,110.69,13544
US2.AAPL,5,20161121,185000,110.69,110.78,110.67,110.775,13616
US2.AAPL,5,20161121,185500,110.77,110.91,110.76,110.87,19292
US2.AAPL,5,20161121,190000,110.88,110.9,110.8,110.9,18632
US2.AAPL,5,20161121,190500,110.93,111.08,110.92,111.04,28678
US2.AAPL,5,20161121,191000,111.03,111.25,111.02,111.25,33245
US2.AAPL,5,20161121,191500,111.29,111.47,111.28,111.4,34111
US2.AAPL,5,20161121,192000,111.41,111.64,111.405,111.6,45739
US2.AAPL,5,20161121,192500,111.6,111.62,111.46,111.465,15532
US2.AAPL,5,20161121,193000,111.47,111.61,111.465,111.54,20869
US2.AAPL,5,20161121,193500,111.53,111.82,111.52,111.81,28629
US2.AAPL,5,20161121,194000,111.81,111.88,111.75,111.75,25781
US2.AAPL,5,20161121,194500,111.75,111.81,111.68,111.78,16948
US2.AAPL,5,20161121,195000,111.78,111.81,111.73,111.76,12085
US2.AAPL,5,20161121,195500,111.76,111.76,111.61,111.62,23766
US2.AAPL,5,20161121,200000,111.63,111.705,111.61,111.69,19480
US2.AAPL,5,20161121,200500,111.69,111.7,111.56,111.56,20921
US2.AAPL,5,20161121,201000,111.54,111.69,111.51,111.66,10646
US2.AAPL,5,20161121,201500,111.67,111.67,111.51,111.52,12182
US2.AAPL,5,20161121,202000,111.53,111.55,111.42,111.46,18888
US2.AAPL,5,20161121,202500,111.465,111.48,111.35,111.4,13388
US2.AAPL,5,20161121,203000,111.4,111.53,111.4,111.53,9152
US2.AAPL,5,20161121,203500,111.54,111.61,111.53,111.58,20953
US2.AAPL,5,20161121,204000,111.6,111.705,111.55,111.7,21176
US2.AAPL,5,20161121,204500,111.7,111.88,111.7,111.82,33706
US2.AAPL,5,20161121,205000,111.835,111.88,111.75,111.88,13644
US2.AAPL,5,20161121,205500,111.88,111.88,111.82,111.83,10658
US2.AAPL,5,20161121,210000,111.82,111.84,111.79,111.8,11297
US2.AAPL,5,20161121,210500,111.8,111.89,111.8,111.88,13588
US2.AAPL,5,20161121,211000,111.88,111.93,111.84,111.91,14727
US2.AAPL,5,20161121,211500,111.93,111.93,111.78,111.78,11336
US2.AAPL,5,20161121,212000,111.77,111.83,111.77,111.83,5990
US2.AAPL,5,20161121,212500,111.83,111.86,111.65,111.69,17020
US2.AAPL,5,20161121,213000,111.67,111.77,111.65,111.72,16477
US2.AAPL,5,20161121,213500,111.72,111.75,111.665,111.71,7656
US2.AAPL,5,20161121,214000,111.7,111.73,111.63,111.63,9953
US2.AAPL,5,20161121,214500,111.64,111.66,111.55,111.62,7324
US2.AAPL,5,20161121,215000,111.62,111.66,111.6,111.62,5551
US2.AAPL,5,20161121,215500,111.61,111.65,111.58,111.65,4200
US2.AAPL,5,20161121,220000,111.65,111.73,111.63,111.67,11728
US2.AAPL,5,20161121,220500,111.67,111.68,111.65,111.67,12239
US2.AAPL,5,20161121,221000,111.675,111.685,111.57,111.58,17559
US2.AAPL,5,20161121,221500,111.57,111.595,111.53,111.595,7395
US2.AAPL,5,20161121,222000,111.59,111.64,111.58,111.62,11216
US2.AAPL,5,20161121,222500,111.61,111.62,111.57,111.6,8478
US2.AAPL,5,20161121,223000,111.6,111.61,111.53,111.53,5440
US2.AAPL,5,20161121,223500,111.55,111.635,111.55,111.615,15182
US2.AAPL,5,20161121,224000,111.61,111.63,111.58,111.61,11746
US2.AAPL,5,20161121,224500,111.61,111.61,111.46,111.485,9038
US2.AAPL,5,20161121,225000,111.495,111.53,111.46,111.52,13121
US2.AAPL,5,20161121,225500,111.52,111.56,111.49,111.55,19148
US2.AAPL,5,20161121,230000,111.55,111.57,111.48,111.5,17778
US2.AAPL,5,20161121,230500,111.51,111.52,111.45,111.52,9417
US2.AAPL,5,20161121,231000,111.53,111.67,111.53,111.64,11594
US2.AAPL,5,20161121,231500,111.65,111.73,111.62,111.73,21969
US2.AAPL,5,20161121,232000,111.74,111.835,111.7,111.8,18377
US2.AAPL,5,20161121,232500,111.79,111.795,111.695,111.75,18407
US2.AAPL,5,20161121,233000,111.75,111.87,111.72,111.8,28397
US2.AAPL,5,20161121,233500,111.8,111.92,111.8,111.91,28132
US2.AAPL,5,20161121,234000,111.91,111.91,111.86,111.88,17790
US2.AAPL,5,20161121,234500,111.87,111.88,111.79,111.83,23641
US2.AAPL,5,20161121,235000,111.83,111.94,111.81,111.93,34508
US2.AAPL,5,20161121,235500,111.92,111.98,111.84,111.97,74871
US2.AAPL,5,20161122,0,111.96,111.98,111.74,111.76,79818
US2.AAPL,5,20161122,173500,111.96,112.17,111.67,112.09,48978
US2.AAPL,5,20161122,174000,112.08,112.22,111.94,112.02,40995
US2.AAPL,5,20161122,174500,112.01,112.09,111.81,112,31103
US2.AAPL,5,20161122,175000,111.99,112.3,111.93,112.29,36994
US2.AAPL,5,20161122,175500,112.29,112.41,112.12,112.14,39528
